Wall time,Step,Value
1597552111.136924,0,0.5133333206176758
1597552127.874204,1,0.5255555510520935
1597552144.464864,2,0.4911110997200012
1597552160.494076,3,0.5299999713897705
1597552177.163898,4,0.5188888907432556
1597552193.00426,5,0.5288888812065125
1597552209.115572,6,0.5088889002799988
1597552225.169784,7,0.5211111307144165
1597552241.024545,8,0.5199999809265137
1597552257.253077,9,0.5288888812065125
1597552273.306862,10,0.5322222113609314
1597552289.119318,11,0.5244444608688354
1597552305.193363,12,0.5388888716697693
1597552321.385919,13,0.5433333516120911
1597552337.503073,14,0.5333333611488342
