Wall time,Step,Value
1597552111.136746,0,0.8048871755599976
1597552127.873904,1,0.7344314455986023
1597552144.46453,2,0.7359914779663086
1597552160.493826,3,0.716490626335144
1597552177.163577,4,0.7116008996963501
1597552193.00408,5,0.723396897315979
1597552209.11531,6,0.7155845761299133
1597552225.169505,7,0.715827226638794
1597552241.024402,8,0.7012975811958313
1597552257.252822,9,0.6897599101066589
1597552273.30655,10,0.7021147608757019
1597552289.119048,11,0.6948167681694031
1597552305.193188,12,0.6944428086280823
1597552321.385658,13,0.6902547478675842
1597552337.5029,14,0.695008397102356
