Wall time,Step,Value
1597549814.281918,0,1215.0689697265625
1597549869.751324,1,0.6892759799957275
1597549943.363316,2,0.688477635383606
1597550017.215772,3,0.6892123222351074
1597550090.611903,4,0.6882970929145813
1597550146.415264,5,0.6884984970092773
1597550220.32178,6,0.6877597570419312
1597550276.159069,7,0.6880816221237183
1597550331.962526,8,0.6879926323890686
1597550387.887874,9,0.6877775192260742
1597550443.716806,10,0.687900185585022
1597550499.589673,11,0.6878557205200195
1597550555.484367,12,0.6876101493835449
1597550611.384262,13,0.6878679990768433
1597550667.350256,14,0.6876897811889648
1597550723.435532,15,0.6878166794776917
1597550779.525619,16,0.6876949071884155
