Wall time,Step,Value
1597529088.03042,0,0.4380129277706146
1597529538.673307,1,0.3280320167541504
1597529983.721195,2,0.32436344027519226
1597530428.652218,3,0.32428139448165894
1597530870.862189,4,0.32429373264312744
1597531318.041556,5,0.32429245114326477
1597531765.670658,6,0.32428601384162903
1597532213.786304,7,0.3242686092853546
1597532661.83223,8,0.3242895305156708
1597533109.632145,9,0.32428863644599915
1597533557.349331,10,0.32427626848220825
1597534004.972448,11,0.32429471611976624
1597534452.885987,12,0.3242887258529663
1597534900.523926,13,0.32428786158561707
